nmId,shape,nomLayer,dissNomType,dissNomConc,saltType,prepMethod,concPump,pH,zetaPotentialPump,zetaCollector,temp,logDebyeLength,depAttEff
C60,sphere,none,none,0,NaCl,liqLiqEx,6,6.7,-27.2,-23.3,15,-8.937523769,0.47
C60,sphere,none,none,0,NaCl,liqLiqEx,6,6.7,-29.8,-23.3,25,-8.940009272,0.46
C60,sphere,none,none,0,NaCl,liqLiqEx,6,6.7,-31.2,-23.3,35,-8.942688601,0.47
C60,sphere,none,none,0,NaCl,liqLiqEx,6,6.7,-31.6,-23.3,45,-8.945608207,0.51
C60,sphere,HHA,none,0,NaCl,liqLiqEx,6,6.7,-27.2,-18.6,15,-8.937523769,0.27
C60,sphere,HHA,none,0,NaCl,liqLiqEx,6,6.7,-29.8,-18.6,25,-8.940009272,0.31
C60,sphere,HHA,none,0,NaCl,liqLiqEx,6,6.7,-31.2,-18.6,35,-8.942688601,0.42
C60,sphere,HHA,none,0,NaCl,liqLiqEx,6,6.7,-31.6,-18.6,45,-8.945608207,0.97
C60,sphere,HFA,none,0,NaCl,liqLiqEx,6,6.7,-27.2,-12,15,-8.937523769,0.14
C60,sphere,HFA,none,0,NaCl,liqLiqEx,6,6.7,-29.8,-12,25,-8.940009272,0.21
C60,sphere,HFA,none,0,NaCl,liqLiqEx,6,6.7,-31.2,-12,35,-8.942688601,0.24
C60,sphere,HFA,none,0,NaCl,liqLiqEx,6,6.7,-31.6,-12,45,-8.945608207,0.59
C60,sphere,none,none,0,NaCl,liqLiqEx,6.05,5.6,-44.1,-44.66231667,25,-8.440009272,0.023624342
C60,sphere,none,none,0,NaCl,liqLiqEx,6.05,5.6,-43.1,-36.30125,25,-8.619520244,0.038289978
C60,sphere,none,none,0,NaCl,liqLiqEx,6.05,5.6,-34.7,-30.93851667,25,-8.75602088,0.792249024
C60,sphere,none,none,0,NaCl,liqLiqEx,6.05,5.6,-36.9,-29.90623333,25,-8.887641597,1.022690415
C60,sphere,none,none,0,NaCl,liqLiqEx,6.05,5.6,-30.5,-17.10763333,25,-9.017460252,1.178231124
C60,sphere,none,none,0,CaCl2,liqLiqEx,6.05,5.6,-16.7,-38.03171667,25,-7.994594129,0.03845016
C60,sphere,none,none,0,CaCl2,liqLiqEx,6.05,5.6,-19.9,-39.05543333,25,-8.126214847,0.582112474
C60,sphere,none,none,0,CaCl2,liqLiqEx,6.05,5.6,-19.5,-35.41245833,25,-8.244895304,1.011886241
C60,sphere,none,none,0,CaCl2,liqLiqEx,6.05,5.6,-17.3,-30.93423333,25,-8.295624125,1.017168597
C60,sphere,HHA,none,0,NaCl,liqLiqEx,6.05,5.6,-44.1,-28.08581667,25,-8.440009272,0.131744487
C60,sphere,HHA,none,0,NaCl,liqLiqEx,6.05,5.6,-43.1,-21.9735,25,-8.619520244,0.184272734
C60,sphere,HHA,none,0,NaCl,liqLiqEx,6.05,5.6,-34.7,-22.99721667,25,-8.75602088,0.629974418
C60,sphere,HHA,none,0,NaCl,liqLiqEx,6.05,5.6,-36.9,-20.1327375,25,-8.887641597,0.697661878
C60,sphere,HHA,none,0,NaCl,liqLiqEx,6.05,5.6,-30.5,-17.95145,25,-9.017460252,1.007099114
C60,sphere,HHA,none,0,CaCl2,liqLiqEx,6.05,5.6,-16.7,-17.33893333,25,-7.994594129,0.600919276
C60,sphere,HHA,none,0,CaCl2,liqLiqEx,6.05,5.6,-19.9,-16.4223,25,-8.126214847,0.892622069
C60,sphere,HHA,none,0,CaCl2,liqLiqEx,6.05,5.6,-19.5,-13.62314167,25,-8.244895304,0.886986043
C60,sphere,HHA,none,0,CaCl2,liqLiqEx,6.05,5.6,-17.3,-12.10641333,25,-8.295624125,0.878776868
C60,sphere,none,none,0,NaCl,directSonic,5,6,-35.8515,-49.75369458,25,-8.365638447,0.04
C60,sphere,none,none,0,NaCl,directSonic,5,6,-32.382,-46.79802956,25,-8.516371793,0.39
C60,sphere,none,none,0,NaCl,directSonic,5,6,-29.9405,-41.37931034,25,-8.667322829,1.05
C60,sphere,none,none,0,NaCl,directSonic,5,6,-24.158,-38.71921182,25,-8.817238048,1.16
C60,sphere,none,none,0,NaCl,directSonic,5,6,-20.046,-32.46260265,25,-8.967151605,0.99
C60,sphere,none,none,0,NaCl,directSonic,5,6,-17.99,-29.16256158,25,-9.016393615,0.66
C60_20hUV,sphere,none,none,0,NaCl,directSonic,5,6,-40.4775,-41.37931034,25,-8.665243802,0.01
C60_20hUV,sphere,none,none,0,NaCl,directSonic,5,6,-37.6505,-40.06475911,25,-8.756237918,0.17
C60_20hUV,sphere,none,none,0,NaCl,directSonic,5,6,-35.209,-38.71921182,25,-8.817238048,0.22
C60_20hUV,sphere,none,none,0,NaCl,directSonic,5,6,-32.639,-37.19723604,25,-8.865419879,0.32
C60_7DUV,sphere,none,none,0,NaCl,directSonic,5,6,-46.6455,-38.71921182,25,-8.816198147,0.02
C60_7DUV,sphere,none,none,0,NaCl,directSonic,5,6,-29.9405,-29.16256158,25,-9.016393615,0.07
C60_7DUV,sphere,none,none,0,NaCl,directSonic,5,6,-27.6275,-20.09852217,25,-9.10418451,0.4
C60_7DUV,sphere,none,none,0,NaCl,directSonic,5,6,-23.13,-14.48275862,25,-9.167355497,0.57
C60_7DUV,sphere,none,none,0,NaCl,directSonic,5,6,-18.8895,-14.87684729,25,-9.214458319,0.76
C60_7DUV,sphere,none,none,0,NaCl,directSonic,5,6,-16.962,-11.72413793,25,-9.255150549,0.49
C60_7DUV,sphere,none,none,0,NaCl,directSonic,5,6,-16.191,-8.275862069,25,-9.286199792,0.53
C60,sphere,none,none,0,NaCl,directSonic,5,6,-35.8515,-49.75369458,25,-8.366074924,0.041
C60,sphere,none,none,0,NaCl,directSonic,5,6,-32.382,-46.79802956,25,-8.516589921,0.398
C60,sphere,none,none,0,NaCl,directSonic,5,6,-29.9405,-41.37931034,25,-8.667322829,1.08
C60,sphere,none,none,0,NaCl,directSonic,5,6,-24.158,-38.71921182,25,-8.818001116,1.19
C60,sphere,none,none,0,NaCl,directSonic,5,6,-19.9175,-32.33813301,25,-8.968706463,0.99
C60,sphere,none,none,0,NaCl,directSonic,5,6,-17.99,-29.16256158,25,-9.016568118,0.62
C60,sphere,none,SRHA,1,NaCl,directSonic,5,6,-35.8515,-49.75369458,25,-8.366945254,0.063
